X;min;mean;max;date
1;21;34;46;2007-01-01
2;41;46;50;2007-01-02
3;30;36;41;2007-01-03
4;24;32;41;2007-01-04
5;23;28;33;2007-01-05
6;28;36;44;2007-01-06
7;24;34;44;2007-01-07
8;28;37;46;2007-01-08
9;30;38;46;2007-01-09
10;28;34;41;2007-01-10
11;32;34;37;2007-01-11
12;33;38;44;2007-01-12
13;30;39;48;2007-01-13
14;26;36;46;2007-01-14
15;30;42;55;2007-01-15
16;23;34;44;2007-01-16
17;23;36;48;2007-01-17
18;39;44;48;2007-01-18
19;46;50;53;2007-01-19
21;30;44;59;2007-01-21
22;30;40;51;2007-01-22
23;32;42;51;2007-01-23
20;33;44;55;2007-01-20
24;42;45;48;2007-01-24
25;32;38;44;2007-01-25
26;33;37;41;2007-01-26
27;30;39;48;2007-01-27
28;24;32;39;2007-01-28
29;23;32;42;2007-01-29
30;28;36;44;2007-01-30
31;24;34;44;2007-01-31
32;24;35;46;2007-02-01
33;28;35;42;2007-02-02
34;24;32;41;2007-02-03
35;26;32;39;2007-02-04
36;23;32;42;2007-02-05
37;21;34;48;2007-02-06
38;26;37;48;2007-02-07
39;39;42;44;2007-02-08
40;37;44;50;2007-02-09
41;41;44;46;2007-02-10
42;35;42;48;2007-02-11
43;32;42;53;2007-02-12
44;37;42;48;2007-02-13
45;32;42;50;2007-02-14
46;28;37;46;2007-02-15
47;37;40;42;2007-02-16
48;37;42;48;2007-02-17
49;35;40;46;2007-02-18
50;35;38;42;2007-02-19
51;37;42;48;2007-02-20
52;32;42;53;2007-02-21
53;32;42;53;2007-02-22
54;37;46;55;2007-02-23
55;39;42;46;2007-02-24
56;35;38;41;2007-02-25
57;37;40;42;2007-02-26
58;32;36;41;2007-02-27
59;28;38;48;2007-02-28
60;37;44;50;2007-03-01
61;46;50;55;2007-03-02
62;46;52;59;2007-03-03
63;41;52;62;2007-03-04
64;32;42;51;2007-03-05
65;32;42;53;2007-03-06
66;32;44;55;2007-03-07
67;41;48;55;2007-03-08
68;37;48;59;2007-03-09
69;39;45;51;2007-03-10
70;41;46;50;2007-03-11
71;33;42;51;2007-03-12
72;35;47;59;2007-03-13
73;33;45;57;2007-03-14
74;32;46;59;2007-03-15
75;33;44;55;2007-03-16
76;32;46;60;2007-03-17
77;30;44;57;2007-03-18
78;32;46;59;2007-03-19
79;39;47;53;2007-03-20
80;35;40;46;2007-03-21
81;35;38;42;2007-03-22
82;35;40;46;2007-03-23
83;37;44;50;2007-03-24
84;37;42;48;2007-03-25
85;35;42;50;2007-03-26
86;39;44;50;2007-03-27
87;37;40;44;2007-03-28
88;39;44;48;2007-03-29
89;37;42;46;2007-03-30
90;35;42;50;2007-03-31
91;35;45;55;2007-04-01
92;37;48;59;2007-04-02
93;37;46;55;2007-04-03
94;35;43;51;2007-04-04
95;39;46;53;2007-04-05
96;33;44;55;2007-04-06
97;33;46;59;2007-04-07
98;41;52;62;2007-04-08
99;39;50;60;2007-04-09
100;33;50;66;2007-04-10
101;35;50;66;2007-04-11
102;39;50;62;2007-04-12
103;35;50;64;2007-04-13
104;41;54;68;2007-04-14
105;41;54;66;2007-04-15
106;42;50;59;2007-04-16
107;37;44;51;2007-04-17
108;32;48;64;2007-04-18
109;37;50;64;2007-04-19
110;41;52;64;2007-04-20
111;39;56;73;2007-04-21
112;42;56;71;2007-04-22
113;48;57;66;2007-04-23
114;41;56;71;2007-04-24
115;50;54;59;2007-04-25
116;42;50;57;2007-04-26
117;42;48;55;2007-04-27
118;41;52;62;2007-04-28
119;35;50;64;2007-04-29
120;37;52;68;2007-04-30
121;48;56;64;2007-05-01
