X;min;mean;max;date
930;63;76;90;2015-07-19
931;64;78;91;2015-07-20
932;68;80;93;2015-07-21
933;67;79;91;2015-07-22
934;65;78;90;2015-07-23
935;62;76;89;2015-07-24
936;59;74;90;2015-07-25
937;58;73;88;2015-07-26
938;60;75;90;2015-07-27
939;62;76;90;2015-07-28
940;62;78;93;2015-07-29
941;64;78;94;2015-07-30
942;63;77;91;2015-07-31
943;62;76;90;2015-08-01
944;64;76;88;2015-08-02
945;64;76;88;2015-08-03
946;60;70;80;2015-08-04
947;57;72;87;2015-08-05
948;65;75;85;2015-08-06
949;60;74;87;2015-08-07
950;59;72;85;2015-08-08
951;64;74;83;2015-08-09
952;62;73;84;2015-08-10
953;62;76;89;2015-08-11
954;61;75;89;2015-08-12
955;63;77;91;2015-08-13
956;61;74;87;2015-08-14
957;61;76;90;2015-08-15
958;59;74;89;2015-08-16
959;58;68;77;2015-08-17
960;55;70;84;2015-08-18
961;57;71;85;2015-08-19
962;57;70;82;2015-08-20
963;54;68;81;2015-08-21
964;57;65;73;2015-08-22
965;53;66;78;2015-08-23
966;56;69;82;2015-08-24
967;58;72;86;2015-08-25
968;61;73;85;2015-08-26
969;61;73;85;2015-08-27
970;60;73;86;2015-08-28
971;60;76;91;2015-08-29
972;59;73;87;2015-08-30
973;64;77;90;2015-08-31
974;61;74;87;2015-09-01
975;61;76;90;2015-09-02
976;59;74;89;2015-09-03
977;59;74;88;2015-09-04
978;60;76;91;2015-09-05
979;60;76;82;2015-09-06
980;57;69;81;2015-09-07
981;54;66;77;2015-09-08
982;55;66;77;2015-09-09
983;55;62;69;2015-09-10
984;57;67;77;2015-09-11
985;51;63;75;2015-09-12
986;52;65;78;2015-09-13
987;55;66;78;2015-09-14
988;56;68;80;2015-09-15
989;58;70;82;2015-09-16
990;60;71;82;2015-09-17
991;60;72;84;2015-09-18
992;59;72;84;2015-09-19
993;53;68;83;2015-09-20
994;58;64;70;2015-09-21
995;55;62;68;2015-09-22
996;54;64;75;2015-09-23
997;55;68;76;2015-09-24
998;54;57;60;2015-09-25
999;50;56;63;2015-09-26
1000;55;60;66;2015-09-27
1001;52;58;64;2015-09-28
1002;51;58;66;2015-09-29
1003;51;59;67;2015-09-30
1004;53;60;67;2015-10-01
1005;46;57;68;2015-10-02
1006;48;59;70;2015-10-03
1007;53;62;72;2015-10-04
1008;50;60;70;2015-10-05
1009;49;60;70;2015-10-06
1010;55;58;60;2015-10-07
1011;54;60;67;2015-10-08
1012;51;59;67;2015-10-09
1013;55;60;64;2015-10-10
1014;52;58;63;2015-10-11
1015;51;58;63;2015-10-12
1016;43;54;64;2015-10-13
1017;46;56;66;2015-10-14
1018;51;60;68;2015-10-15
1019;53;57;61;2015-10-16
1020;52;58;64;2015-10-17
1021;53;60;67;2015-10-18
1022;53;60;66;2015-10-19
1023;53;62;70;2015-10-20
1024;48;52;56;2015-10-21
1025;42;44;47;2015-10-22
1026;42;47;52;2015-10-23
1027;40;50;59;2015-10-24
1028;35;46;57;2015-10-25
1029;36;48;59;2015-10-26
1030;38;50;61;2015-10-27
1031;42;52;61;2015-10-28
1032;41;50;59;2015-10-29
1033;37;48;58;2015-10-30
1034;45;50;56;2015-10-31
1035;38;46;54;2015-11-01
1036;34;46;58;2015-11-02
1037;33;46;58;2015-11-03
1038;33;46;59;2015-11-04
1039;35;47;59;2015-11-05
1040;35;47;59;2015-11-06
1041;35;47;59;2015-11-07
1042;32;46;59;2015-11-08
1043;39;51;63;2015-11-09
1044;41;52;64;2015-11-10
1045;42;52;63;2015-11-11
1046;45;55;65;2015-11-12
1047;43;52;62;2015-11-13
1048;41;52;63;2015-11-14
1049;41;50;59;2015-11-15
1050;39;50;60;2015-11-16
1051;41;51;61;2015-11-17
1052;37;50;64;2015-11-18
1053;39;48;57;2015-11-19
1054;33;46;59;2015-11-20
1055;52;56;59;2015-11-21
1056;42;50;57;2015-11-22
1057;39;48;57;2015-11-23
1058;47;54;61;2015-11-24
1059;45;48;50;2015-11-25
1060;44;50;56;2015-11-26
1061;37;40;44;2015-11-27
1062;37;42;46;2015-11-28
1063;32;40;46;2015-11-29
1064;27;38;50;2015-11-30
1065;30;41;52;2015-12-01
1066;35;43;51;2015-12-02
1067;33;44;54;2015-12-03
1068;32;43;54;2015-12-04
1069;32;42;51;2015-12-05
1070;30;38;46;2015-12-06
1071;28;38;47;2015-12-07
1072;28;38;49;2015-12-08
1073;28;38;49;2015-12-09
1074;32;36;41;2015-12-10
1075;29;36;39;2015-12-11
1076;25;35;45;2015-12-12
1077;23;36;49;2015-12-13
1078;28;38;48;2015-12-14
1079;28;39;50;2015-12-15
1080;28;38;47;2015-12-16
1081;28;36;45;2015-12-17
1082;25;34;43;2015-12-18
1083;30;39;48;2015-12-19
1084;32;42;52;2015-12-20
1085;28;39;50;2015-12-21
1086;28;39;50;2015-12-22
1087;26;39;52;2015-12-23
1088;30;40;51;2015-12-24
1089;26;37;48;2015-12-25
1090;30;40;50;2015-12-26
1091;26;38;51;2015-12-27
1092;28;40;52;2015-12-28
1093;28;39;50;2015-12-29
1094;29;38;45;2015-12-30
1095;19;28;34;2015-12-31
