X;min;mean;max;date
213;64;75;84;2013-08-01
214;57;70;82;2013-08-02
215;57;70;82;2013-08-03
216;55;73;91;2013-08-04
217;69;79;89;2013-08-05
218;60;74;87;2013-08-06
219;69;78;88;2013-08-07
220;66;78;88;2013-08-08
221;57;72;88;2013-08-09
222;59;70;82;2013-08-10
223;59;70;82;2013-08-11
224;57;72;86;2013-08-12
225;59;72;86;2013-08-13
226;68;78;87;2013-08-14
227;66;76;86;2013-08-15
228;60;71;82;2013-08-16
229;57;68;78;2013-08-17
230;55;68;82;2013-08-18
231;62;74;86;2013-08-19
232;57;72;86;2013-08-20
233;66;74;82;2013-08-21
234;62;72;82;2013-08-22
235;55;66;78;2013-08-23
236;53;68;84;2013-08-24
237;51;66;82;2013-08-25
238;60;72;83;2013-08-26
239;55;66;77;2013-08-27
240;59;70;80;2013-08-28
241;57;69;78;2013-08-29
242;51;63;75;2013-08-30
243;53;66;79;2013-08-31
244;55;66;78;2013-09-01
245;53;65;77;2013-09-02
246;48;62;77;2013-09-03
247;53;72;91;2013-09-04
248;54;66;79;2013-09-05
249;48;62;77;2013-09-06
250;50;64;78;2013-09-07
251;50;65;80;2013-09-08
252;48;62;76;2013-09-09
253;57;68;80;2013-09-10
254;60;68;75;2013-09-11
255;56;66;77;2013-09-12
256;53;62;69;2013-09-13
257;44;56;69;2013-09-14
258;39;55;71;2013-09-15
259;51;56;62;2013-09-16
260;50;59;68;2013-09-17
261;55;62;69;2013-09-18
262;46;58;71;2013-09-19
263;53;61;69;2013-09-20
264;55;63;71;2013-09-21
265;48;57;66;2013-09-22
266;44;55;66;2013-09-23
267;41;55;69;2013-09-24
268;48;62;77;2013-09-25
269;46;60;75;2013-09-26
270;44;58;71;2013-09-27
271;54;64;75;2013-09-28
272;46;60;75;2013-09-29
273;55;62;68;2013-09-30
274;51;58;64;2013-10-01
275;50;57;64;2013-10-02
276;42;50;57;2013-10-03
277;37;45;53;2013-10-04
278;36;48;60;2013-10-05
279;42;52;62;2013-10-06
280;50;54;57;2013-10-07
281;48;57;66;2013-10-08
282;51;55;59;2013-10-09
283;48;58;69;2013-10-10
284;55;60;64;2013-10-11
285;53;62;71;2013-10-12
286;50;60;69;2013-10-13
287;51;62;73;2013-10-14
288;46;58;69;2013-10-15
289;51;56;62;2013-10-16
290;42;50;57;2013-10-17
291;41;50;62;2013-10-18
292;40;51;62;2013-10-19
293;39;52;64;2013-10-20
294;37;50;64;2013-10-21
295;41;52;64;2013-10-22
296;46;56;66;2013-10-23
297;42;54;66;2013-10-24
298;41;52;64;2013-10-25
299;41;54;66;2013-10-26
300;46;56;64;2013-10-27
301;47;56;66;2013-10-28
302;46;56;66;2013-10-29
303;42;53;64;2013-10-30
304;48;55;62;2013-10-31
305;48;55;64;2013-11-01
306;45;54;62;2013-11-02
307;39;52;66;2013-11-03
308;42;55;68;2013-11-04
309;51;56;60;2013-11-05
310;50;55;60;2013-11-06
311;42;52;62;2013-11-07
312;42;52;62;2013-11-08
313;44;52;60;2013-11-09
314;39;52;64;2013-11-10
315;50;54;59;2013-11-11
316;54;57;59;2013-11-12
317;53;56;58;2013-11-13
318;50;52;56;2013-11-14
319;45;49;54;2013-11-15
320;45;51;56;2013-11-16
321;37;46;56;2013-11-17
322;37;46;56;2013-11-18
323;46;50;52;2013-11-19
324;47;53;59;2013-11-20
325;42;50;58;2013-11-21
326;39;48;59;2013-11-22
327;42;47;53;2013-11-23
328;39;40;43;2013-11-24
329;38;44;52;2013-11-25
330;32;34;39;2013-11-26
331;26;33;41;2013-11-27
332;28;34;42;2013-11-28
333;26;36;47;2013-11-29
334;29;36;42;2013-11-30
